20|Observations from the Winrock team in the Mountains of Nepal|Braving nearly impassable roads and 12,000 foot peaks (and fortified with delicious chai tea),Adam Reineck and the Winrock team visit communities using multiple use water (MUS) schemes in rural Nepal.|October 19, 2011|Adam Reineck|IDEO.org|http://www.hcdconnect.org/profiles/adam/|Kumasi, Ashanti, Ghana|Water
21|The Early Stages of Early Learning|The Bezos Family Foundation has tappedIDEO.orgto explore opportunities to use messaging and other awareness tools in a potential national campaign to help more parents support their childrens early development through everyday actions. We kicked off this project at the Bezos Family Foundation offices in Seattle, Washington.|October 25, 2011|Suzanne Boutilier|IDEO.org|http://www.hcdconnect.org/profiles/suzanne/|Bakersfield, CA|Education
22|Hope and Optimism, Traits of Youth|IDEO.orgFellow Emily Friedberg gives an update from Delhi, India, where the Rockefeller Team is utilizing the Human-Centered Design method of in-context immersion atyouth community centers throughout the city.|October 26, 2011|Emily Friedberg|IDEO.org|http://www.hcdconnect.org/profiles/emily/|Mumbai, Maharashtra, India|Community Development
23|Multiple Use Water Services in Multiple Settings|After departing Nepal, theIDEO.orgWinrock team flew to Ethiopia to see more Multiple Use Services (MUS) in action. From urban gardening in the slums of Addis Ababa to fluoride treatment plants in the Rift Valley, the team observed how MUS can be applied in vastly different settings for different populations.|October 28, 2011|Jessica Vechakul|IDEO.org|http://www.hcdconnect.org/profiles/jess/|Gauteng, South Africa|Water
24|Will Social Entrepreneurs Change the World?|While in India with theIDEO.orgRockefeller team, Fellow Salvador Zepeda ponders the role of the lone social entreupeneur in a world with large-scale problems.|November 01, 2011|Salvador Zepeda|IDEO.org|http://www.hcdconnect.org/profiles/salvador/|Mumbai, Maharashtra, India|Community Development
25|The Legitimization of Waste Pickers in Delhi|IDEO.orgFellow Sarah Lidgus and the Rockefeller team meet with waste pickers in Delhi, a group of particular interest to the team because waste pickersare informal workers, unregistered and unmonitored by any form of government.|November 02, 2011|Sarah Lidgus|IDEO.org|http://www.hcdconnect.org/profiles/sarah/|Mumbai, Maharashtra, India|Community Development
26|Meeting our Teachers|"After spending a week ""getting smart"" on the topic of early childhood learning by doing lots of research and interviewing experts in the field, theIDEO.orgBezos team heads forOakland and then Bakersfield, California to interview a diverse group of low-income parents."|November 03, 2011|Suzanne Boutilier|IDEO.org|http://www.hcdconnect.org/profiles/suzanne/|Seattle, WA|Education
27|Improving Schools through Theater in Tanzania|"After departing India, Salvador Zepeda and theIDEO.org/"" target=""_blank"">IDEO.orgRockefeller team travel to Tanzania to conduct more research on the youth employment story in the developing world. While in Dar es Salaam, the team learned about an innovative three-day workshop created by a local NGO that brings parents, teachers, and students together to ideate education solutions - all through theatre."|November 16, 2011|Salvador Zepeda|IDEO.org|http://www.hcdconnect.org/profiles/salvador/|Gauteng, South Africa|Education
28|Creating a Multiple Use Water Movement|The Winrock team returned from Ethiopia and Nepal and has begun synthesizing everything they learned during their three weeks in the field into a useful deliverable that will be used by organizations in the broader development community seeking to understand and implement the basic principles behind the Multiple Use Water Services movement.|November 19, 2011|sean hewens|IDEO.org|http://www.hcdconnect.org/profiles/sean/|Milwaukee, WI|Water
29|Continuing Education (Part 1 of 4)|The first in a series of story snapshots from IDEO.org's Team Bezos as Robin, Marika, and Suzanne traveled to New York City and Harrisburg, Pennsylvania to meet with more families and experts in early learning.|November 23, 2011|Suzanne Boutilier|IDEO.org|http://www.hcdconnect.org/profiles/suzanne/|Seattle, WA|Education
30|The TV Dilemma (Part 2 of 4)|Robin, Marika, and Suzanne from IDEO.org's Team Bezos ponder the role of television as they meet with families and early learning experts in NYC and Harrisburg, Pennsylvania.|November 29, 2011|Suzanne Boutilier|IDEO.org|http://www.hcdconnect.org/profiles/suzanne/|Seattle, WA|Education
31|Change is Hard, Time is Important and Balance is Tricky|Fellow Liz Ogbu provides an update from the front lines of synthesis with theIDEO.orgWinrock Team as Liz, Adam, and Jess prepare to complete theMultiple Use Water Services project.|November 30, 2011|Liz Ogbu|California College of the Arts - Center for Art and Public Life|http://www.hcdconnect.org/profiles/liz/|Milwaukee, WI|Water
32|Drilling Down on Youth Employment|Sarah, Emily, and Salvador hole up in anIDEO.orgproject room to put the finishing touches on their youth employment deliverables to the Rockefeller Foundation next week. Keep reading for a sneak preview into some of what they'll be presenting to Rockefeller.|December 02, 2011|sean hewens|IDEO.org|http://www.hcdconnect.org/profiles/sean/|Jamaica|Community Development
33|Modeling Motherhood (Part 3 of 4)|What if every new mother received home visits from a visiting nurse? Team Bezos explores the Nurse-Family Partnership program in New York City and wonders if a similar model could be used to foster early childhood learning nationwide.|December 07, 2011|Suzanne Boutilier|IDEO.org|http://www.hcdconnect.org/profiles/suzanne/|Seattle, WA|Education
34|Learning About Love|In advance of IDEO.org's interim presentation to the Bezos Foundation on early childhood learning for low-income parents, Fellow Marika Shioiri-Clark reflects on the love that the parents have shown for their children.|December 09, 2011|Marika Shioiri-Clark|SOSHL Studio|http://www.hcdconnect.org/profiles/marika/|Seattle, WA|Education
35|Ghanasan: AHuman-Centered Approach to Sanitation in Ghana|Unilever, Water and Sanitation for the Urban Poor (WSUP), and IDEO teamed up to developnew products and services for in-home sanitation in Kumasi, Ghana. A year on, WSUP has an inspiring update on the Clean Team sanitation business currently being trialed in Kumasi.|December 12, 2011|sean hewens|IDEO.org|http://www.hcdconnect.org/profiles/sean/|Gauteng, South Africa|Water
36|Kicking Off With Evotech: Medical Devices for the Bottom of the Pyramid|IDEO.orgis spending the next four weeks working with Evotech to help them improve their low-cost endoscopy device for aiding in obstetric fistula procedures in developing world countries. The project kicked off this week and is ramping up quickly. Keep reading for all the details.|December 16, 2011|sean hewens|IDEO.org|http://www.hcdconnect.org/profiles/sean/|Palo Alto, CA|Health
37|A Tale of Two Moms (Part 4 of 4)|In the final installment of Suzanne's snapshots from the field, theIDEO.orgBezos team meets with Tanika and other parents in Harrisburg, Pennsylvania, where they encounter differing perspectives on parenting.|January 03, 2012|Suzanne Boutilier|IDEO.org|http://www.hcdconnect.org/profiles/suzanne/|Seattle, WA|Education
38|Early Learning Prototypes Come to Life|TheIDEO.orgBezos team is approaching the homestretch of its early learning and engaged parenting project with the Bezos Family Foundation. From TV spots to Dr. Sistah', some very cool things are happening. Keep reading to learn all about it.|January 06, 2012|Suzanne Boutilier|IDEO.org|http://www.hcdconnect.org/profiles/suzanne/|Seattle, WA|Education
39|TEDx Top 10|IDEO.orgFellow Emily Friedberg compiles a top 10 list of the characteristics that make a TEDx organizer.|January 12, 2012|Emily Friedberg|IDEO.org|http://www.hcdconnect.org/profiles/emily/|Jamaica|Community Development
40|Eleven Prototypes and Counting...|The prototyping process with theIDEO.orgEvotech team takes some twists and turns as the team works to complete an endoscopy device prototype for pilot distribution around the world.|January 21, 2012|Adam Reineck|IDEO.org|http://www.hcdconnect.org/profiles/adam/|Palo Alto, CA|Health
41|How to TEDx|"This week TED will release the recently completed manual How to TEDx to its community of over 3000 TEDx Organizers.IDEO.org"" target=""_blank"">IDEO.orgFellow Liz Ogbu reflects on the IDEO.org redesign of the manualafter gathering valuable input from the global TEDx community."|January 26, 2012|Liz Ogbu|California College of the Arts - Center for Art and Public Life|http://www.hcdconnect.org/profiles/liz/|Jamaica|Community Development
42|Designing a successful communication campaign|"IDEO.org/"" target=""_blank"">IDEO.orgkicks off a new project in Zambia conducting research in advance of a potential summit that aims tointroduce human-centered design to the process of developing communications products and social change campaigns for public health stakeholders."|January 31, 2012|Sarah Lidgus|IDEO.org|http://www.hcdconnect.org/profiles/sarah/|Zambia|Gender Equity;Health;Community Development
43|The Quest for a Need|As the Evotech project comes to an end,IDEO.orgFellow Salvador Zepeda reflects on why the endocope project became a veryunconventional journey in human centered design.|February 01, 2012|Salvador Zepeda|IDEO.org|http://www.hcdconnect.org/profiles/salvador/|Palo Alto, CA|Health
44|Letting go|Marika and theIDEO.orgBezos team deliver their early childhood learning campaign to the Bezos Family Foundation. Although this phase of the project is over, the campaign is just begining!|February 09, 2012|Marika Shioiri-Clark|SOSHL Studio|http://www.hcdconnect.org/profiles/marika/|Seattle, WA|Community Development;Education
45|We HEARd women's needs and re-CREATEd with her|A grantee who was designing, manufacturing and selling treadlepumps realized that women farmers in some areas weren't buying. Grantee learned through HCD that treadling resembled bicyling - for women in these areas a cultural taboo. They re-designed with women and came up with a successful, culturally appropriate design.|February 10, 2012|Haven Ley|Bill and Melinda Gates Foundation|http://www.hcdconnect.org/profiles/havendley/|Gauteng, South Africa|Agriculture
46|Letting Rural Women Choose The Design|"Developing an appealing packaging design in Rwanda necessitated the implementation of a ""Hear"" stage in the process. Sending out mock prototypes into 500 households helped to determine the design direction and ideally encourage adoption of a micronutrient supplement."|February 14, 2012|Kara Pecknold|Dossier|http://www.hcdconnect.org/profiles/olivelife/|Gauteng, South Africa|Health
47|Lessons from Zambia: guiding principles for a successful behavior change campaign|Upon returning from Zambia where she was working with anIDEO.orgteam to craft a communications campaign around the topic of public health, Sarah Lidgus provides some guiding principals based upon what the team learned while talking with a whole range of Zambians, including rock stars, hotel employees, and professionals from the Ministry of Health.|February 15, 2012|Sarah Lidgus|IDEO.org|http://www.hcdconnect.org/profiles/sarah/|Zambia|Health
48|"Reframing ""How Can We...?"" Statements around Childhood Obesity"|This summer (2011) I was on a multidisciplinary student design team of 5 (self included) with the Design for America Summer Fellows program at Northwestern University. We bounced between design challenge statements around childhood obesity, finding a balance between user access, user needs, and our team's sphere of influence.|February 17, 2012|Brandon Rivera-Melo|Design for America|http://www.hcdconnect.org/profiles/brm/|Berkeley, CA|Agriculture;Education;Health
49|Meaning Design, Meaning Innovation|DEMA Studio worked with Tefal and suggested new meaning for Tefal Magic Hands. This story is about the process how we defined our challenge and how we decided to deal with this.|February 18, 2012|Eunkyeong Jang|The DEMA Studio|http://www.hcdconnect.org/profiles/Ungkiki/|Ho Chi Minh, Ho Chi Minh City, Vietnam|Environment
50|Teaching Design Research + Product Development in rural Kenya|The WAZO Design Institute is a design research and training program started in Kayafungo, Kenya. This project supports the EPC's (Export Production Council) initiative to bolster craft communities in Kenya and prepare them for product development and export.|February 21, 2012|Paul Wood|Seeking Employment|http://www.hcdconnect.org/profiles/paulmwood/|Gauteng, South Africa|Community Development;Education;Health;Gender Equity
51|Youth led community improvements|&#13;|February 21, 2012|Daniela Papi|Seeking Employment|http://www.hcdconnect.org/profiles/danielapapi/|Turkey|Environment;Community Development;Education;Health
52|Teaching Other Discplines about HCD|"I teach a ""bootcamp"" type course called Design For Social Change. I intentionally include design and non-design disciplines to look at a challenge and see how they can use the Hear, Create and Deliver phases to develop a solution with impact."|February 21, 2012|Kara Pecknold|Dossier|http://www.hcdconnect.org/profiles/olivelife/|Berkeley, CA|Community Development;Education
53|MISSION CREEK MORE AT HOME|ABSTRACT|February 21, 2012|Stephanie Szabo|California College of the Arts|http://www.hcdconnect.org/profiles/sszabo/|Berkeley, CA|Water;Community Development;Education;Environment
54|How Can We Support a Market Aimed at Improving Health, Livelihoods, and the Environment?|Ready to get started on the newestIDEO.orgproject, Fellow Liz Ogbu breaks down the cookstoves project and the human-centered design approach that the team will be using to tackle the challenge.|February 21, 2012|Liz Ogbu|California College of the Arts - Center for Art and Public Life|http://www.hcdconnect.org/profiles/liz/|San Francisco, CA|Community Development;Energy;Health
55|GK CSI Nights: Weekly Conversation of Social Enterprises in the Philippines|Every Tuesday, the Gawad Kalinga Center for Social Innovation gathers crazy-awesome people from different fields to build a social enterprise movement. Here, new social entrepreneurs pitch their new innovations and get feedback from audience members who are a mix of students, young professionals and industry experts. More info viawww.gkcsinight.com|February 22, 2012|Karl Vendell Satinitigan|Gawad Kalinga Center for Social Innovation|http://www.hcdconnect.org/profiles/karlvendell/|Hanoi, Vietnam|Community Development
56|Diving Back In|A little over a year ago, Unilever, Water and Sanitation for the Urban Poor (WSUP), and IDEO partnered to explore different low-cost sanitation options in Ghana, and settled on a rental stand-alone toilet and cleaning service. In this second phase of the project,IDEO.orgis tasked with building out the brand strategy of the toilet service, currently called Clean Team.|February 22, 2012|Marika Shioiri-Clark|SOSHL Studio|http://www.hcdconnect.org/profiles/marika/|Gauteng, South Africa|Water
57|The Expert Interview|"To get up to speed quickly on the newIDEO.orgcookstoves project, the team is interviewing a varietyof industry experts, includingstove designers, testers, funders, implementers and manufacturers. These expert interviews are a key component in the ""hear"" stage of human-centered design."|February 23, 2012|Robin Bigio|IDEO.org|http://www.hcdconnect.org/profiles/robin/|Tanzania|Community Development;Health
58|Saturday Cooking|On the ground conducting cookstoves research in Mwanza, theIDEO.orgteam has a day of in-context immersion, while also helping to cook a full Tanzanian meal.|February 25, 2012|Emily Friedberg|IDEO.org|http://www.hcdconnect.org/profiles/emily/|Tanzania|Health
59|Flagler College SIFE Containers for a Cause Affordable Housing|Flagler College SIFE transformed a shipping container into a home and taught youth offenders life-saving success skills for their future. We created new lives for shipping containers, new opportunities for youth offenders and new homes for those in need.|February 26, 2012|Stevie Schenk|Flagler College SIFE|http://www.hcdconnect.org/profiles/stevieschenk/|Berkeley, CA|Environment;Community Development;Education
60|Hearing What the Customers Are Saying|Jess Vechakul and theIDEO.orgGhanasan team are speaking with current customers and potential new ones in Kumasi to learn more about the purchasing decisions that customers make when enrolling in the Clean Team toliet service.|February 27, 2012|Jessica Vechakul|IDEO.org|http://www.hcdconnect.org/profiles/jess/|Gauteng, South Africa|Health
61|Concept Rapid Prototyping Crash Course|Concept Rapid Prototyping - going from concept to devleopment quick &amp; dirty, a 2 week course for first year students who have no design background.|February 28, 2012|Vanessa Carpenter|GeekPhysical|http://www.hcdconnect.org/profiles/VanessaCarpenter/|Oslo, Norway|Education
62|Prototyping Cookstove Liners from the Field, with a Little Help from Mama Shigella|Prototyping in the field is always an interesting but challenging process. While conducting research in Tanzania, theIDEO.orgcookstoves team proves that this processcan yield some really helpful insights.|February 28, 2012|Liz Ogbu|California College of the Arts - Center for Art and Public Life|http://www.hcdconnect.org/profiles/liz/|Tanzania|Energy;Health
63|Mid-Trip Synthesis at a Restaurant in Mwanza|TheIDEO.orgcookstoves team spends its last day in Mwanza, Tanzania camped out in the hotel restaurant synthesizing what they've learned so far and figuring out where it still needs to probe in order to fully understand Tanzanian cookstove users.|March 02, 2012|Emily Friedberg|IDEO.org|http://www.hcdconnect.org/profiles/emily/|Tanzania|Environment;Community Development
64|ThinkImpact's Innovation Institute Designing for Opportunity|ThinkImpact offers the Innovation Institute, the premier full-immersion social enterpreneurship experience in rural Ghana, Kenya, Rwand and South Africa, and leverages asset based community development and design thinking to develop market based solutions to poverty.|March 02, 2012|Saul Garlick|IDEO.org|http://www.hcdconnect.org/profiles/saulgarlick/|Gauteng, South Africa|Environment;Gender Equity;Energy;Water;Community Development;Health;Financial Services;Education;Agriculture
65|Rehabilitating Public Space Reciprocity|Great street performers put big smiles on our faces. How might we bring these experiences closer to our our daily lives?|March 05, 2012|Phil Tinn|Project Opencurb|http://www.hcdconnect.org/profiles/mgpopinjay/|Jamaica|Community Development
66|Cultivating Women Entrepreneurs in North Philadelphia|This project connects women from urban and rural communities through the co-learning of farming, nutrition and entrepreneurship skills and the co-creation of a sustainable agriculture business to provide access to self-employment opportunities, education and healthy food.|March 06, 2012|Kelly Babcock|University of the Arts|http://www.hcdconnect.org/profiles/kbabcock/|Berkeley, CA|Gender Equity;Education;Health;Agriculture;Community Development
67|Kicking Off with CGAP in Mexico|IDEO.orgstarts a new project with theWorld Banks Consultative Group to Assist the Poor (CGAP)to identify opportunities for new and more accessible savings products serving low-income Mexicans. As we get ready to depart for Mexico, here's a quick overview of the project.|March 07, 2012|Adam Reineck|IDEO.org|http://www.hcdconnect.org/profiles/adam/|Mexico City, Mexico|Financial Services
68|Discovering a Universe, One Word at a Time|IDEO.org's Karen Greiner and the rest of the CGAP team discover during field interviews in Mexico that understanding the savings habits of individual Mexicans requires learning a rich new savings vocabulary.|March 07, 2012|Karen Greiner|IDEO.org|http://www.hcdconnect.org/profiles/kgreiner/|Mexico|Financial Services
69|Technology Adoption Isn't Unidirectional|"With theIDEO.org"" target=""_blank"">IDEO.orgcookstoves team in Zanzibar, Tanzania, IDEO.org Co-Director Jocelyn Wyatt explains why the adoption of a new technology like the clean cookstove isn't always a straight path forward."|March 13, 2012|Jocelyn Wyatt|IDEO.org|http://www.hcdconnect.org/profiles/jocelyn/|Tanzania|Community Development;Health
70|Hearing the disabled.|&#13;|March 13, 2012|Kayvan Mojtahedzadeh|SFSU-DAI department|http://www.hcdconnect.org/profiles/k1mj/|Hayward, CA|Education;Health
71|Using the HCD Toolkit within Healthcare|Assisted hospital management evaluate a communication device in an acute care setting.|March 15, 2012|Yervant Terzian|McMaster University|http://www.hcdconnect.org/profiles/yterzian/|Berkeley, CA|Health
72|Creating the Perfect Clean Team Logo|Just back from Ghana with theIDEO.orgGhanasan team, communication designer Joseph Shipp leads the team on a redesign of the Clean Team logo.|March 16, 2012|Joseph Shipp|IDEO.org|http://www.hcdconnect.org/profiles/joseph_is/|Kumasi, Ashanti, Ghana|Health
73|Tracking Enrollment of Community Health Insurance in Rural Rwanda|Global Health Corps Fellows working with Access Project explore how to improve the tracking of community health insurance enrollment for people within rural Rwanda.|March 20, 2012|Heena Patel|"Global Health Corps | Access Project"|http://www.hcdconnect.org/profiles/heenapatel/|Gauteng, South Africa|Community Development;Health
74|To Bank, or Not to Bank|"With theIDEO.orgCGAP team in Mexico City, Karen Greiner considers whether there is a ""business case"" for financial inclusion from the perspective of low-income Mexicans."|March 20, 2012|Karen Greiner|"Global Health Corps | Access Project"|http://www.hcdconnect.org/profiles/kgreiner/|Mexico|Financial Services
75|Charter School Organizational Re-Design|We want to educate children in a more holistic fashion, so we've employed HCD principles in a charter school re-design.|March 22, 2012|Nick Ashburn|IDEO.org|http://www.hcdconnect.org/profiles/nashburn/|Berkeley, CA|Education
76|An Aquaponics Approach to a Sustainable Agricultural Model|Maa-Bara is a minimal-waste, closed-loop sustainable agricultural model that utilizes kitchen scraps to grow healthy, fresh fish and vegetables.We are developing low-tech, low-cost kits for aquaponics in the developing world. We're seeking to partner with an agricultural innovation center to conduct user-centered research in Africa.|March 23, 2012|Elisha Goodman|IDEO.org|http://www.hcdconnect.org/profiles/elishag/|Berkeley, CA|Environment;Community Development;Education;Agriculture
77|La Revolucin de la Alegra|Versin Espaol|March 27, 2012|Javier Arteaga Romero|La Revolucin Creativa|http://www.hcdconnect.org/profiles/bienpensado/|Sao Paulo - So Paulo, Brazil|Community Development;Education
78|Design for Dignity: A New Mammogram Experience|A holistic redesign of the mammogram experience, focusing on the environment, imaging technology, outreach, accessibility, and the hospital gown.|March 28, 2012|Mara Finley|La Revolucin Creativa|http://www.hcdconnect.org/profiles/mfalkfinley/|Berkeley, CA|Gender Equity;Health
79|"Delivering Five ""Shifts"" for Clean Cookstoves"|"After 3 long weeks of synthesis, concepting and presenting, the cookstoves project comes to an end - for now. IDEO.org Fellow Robin Bigio discusses five recomended ""shifts"" that the IDEO.org team identified for the clean cookstoves industry."|March 30, 2012|Robin Bigio|IDEO.org|http://www.hcdconnect.org/profiles/robin/|Tanzania|Environment;Community Development;Energy;Health
80|Tools to Support Kenyan Midwives in Obstetric Emergencies|Jacaranda Health developed tools, job aids, etc. to make our obstetric emergency clinical protocols more accessible and midwife friendly, through focus groups and testing prototypes.|April 02, 2012|Allison Ettenger|Jacaranda Health|http://www.hcdconnect.org/profiles/aettenger/|Gauteng, South Africa|Gender Equity;Health
81|Designing Water, Hygiene and Nutrition Businesses in Kenya|Jess Vechakul and her IDEO.org team kick off a new project in Kenya designing a scalable business model selling clean water alongside hygiene and nutrition products.|April 03, 2012|Jessica Vechakul|IDEO.org|http://www.hcdconnect.org/profiles/jess/|Nairobi, Kenya|Water;Health
82|HCD at Work in Rural Haiti|Implimenting HCD for the first time in rural Haiti led to a community-driven launch of the Chauffard Community School.|April 04, 2012|Grant Nieddu|State of the Spark|http://www.hcdconnect.org/profiles/GrantNieddu/|Berkeley, CA|Community Development;Education
83|Improvment of lighting: A key to independent living|Daily tasks, such as shopping, cleaning, reading a prescription label,  or reading an instruction become difficult or impossible to do  without good sight. Sight impaired people and elderly people are dealing with this problem everyday of their life.Good lighting make their life easier.|April 06, 2012|Sima Tawakoli|San Francisco State University|http://www.hcdconnect.org/profiles/Sima/|Berkeley, CA|Environment;Education;Health
84|Building Innovation Capacity for Social Impact in Low-Income Communities in So Paulo, Brazil|Working closely with colleagues from the Escola de Artes, Cincias e Humanidades (EACH), or USP Leste, the eastern campus of the Universidade de So Paulo/USP, IntoActions built a new interdisciplinary program that focuses on design innovation for social impact.|April 06, 2012|Reinhold Steinbeck|IntoActions &amp; Laboratrio de Design, Inovao e Criatividade (d-USPLeste) - Universidade de So Paulo|http://www.hcdconnect.org/profiles/reinhold/|Sao Paulo - So Paulo, Brazil|Community Development;Education;Health;Financial Services
85|When the Brand is a Service|As the Ghanasan team closes out this stage of the Clean Team project, IDEO.org Fellow Sarah Lidgus reflects on what it means when service is at the center of a brand and how to maintain this level of Clean Team service at scale.|April 10, 2012|Sarah Lidgus|IDEO.org|http://www.hcdconnect.org/profiles/sarah/|Gauteng, South Africa|Community Development;Health
86|Turning Interview Questions into Prototypes|IDEO.org Fellow Salvador Zepeda explains how creating prototypes as part of the human-centered design is easier than you might think and often leads to surprising results.|April 11, 2012|Salvador Zepeda|IDEO.org|http://www.hcdconnect.org/profiles/salvador/|Mexico|Financial Services
87|Prototyping Scalable Business Models in Kenya|IDEO.org Fellow Emily Friedberg considers various business model prototypes that the team will test on the ground in Nairobi over the coming weeks.|April 16, 2012|Emily Friedberg|IDEO.org|http://www.hcdconnect.org/profiles/emily/|Nairobi, Kenya|Water;Community Development
88|How Might We Rethink College?|Sarah Lidgus breaks down the newest IDEO.org project redesigningthe student experience for a blended learning college aimed at low and middle income students in the United States.|April 16, 2012|Sarah Lidgus|IDEO.org|http://www.hcdconnect.org/profiles/sarah/|Los Angeles, CA|Education
89|Distributing simple medicines using the unused space in Coca-Cola crates in Africa|Coca-Cola gets most places but simple medicines that would save a child's life don't. We are working to make simple medicines as ubiquitous as Coca-Cola and other consumble products.|April 18, 2012|Simon Berry|ColaLife|http://www.hcdconnect.org/profiles/simon-berry/|Gauteng, South Africa|Health
